userName,content,at
Christian Simanjuntak,"Tolong bugs diperbaiki, setelah update apps versi terbaru loading membutuhkan waktu yg lama pada saat aplikasinya digunakan. Kenyamanan bertransaksi saat menggunakan apps sangat terganggu",2023-02-23 10:45:51
ahen sindhu,"nyesel banget aku update, malah makin lemot ampun daah, dari login sampai semua fiturnya ruaaarr biasa lelet..segera perbaiki bugs nya kalau pengen pelanggan setia tetap sudi spend money buat kalian, mengingat sudah banyak pesaing bisnis yg jauh lebih friendly kantong, thx",2023-02-23 10:32:38
Hendra Setiawan,Gila yaaa aplikasinya berat bgt apa smpe susah di buka. Apa apa suruh lewat aplikasi tapi aplikasinya parah bgt loading doang,2023-02-23 10:29:00
Muhammad Radja,Lemot...udah isi saldo tau ga lsg ke isi...saya malu bgt dikira saya ga punya duit. Padahal saya ini recus setia.,2023-02-23 10:28:06
supri hartini,"Parah si sekelas starbuck tp aplikasi nya susah mau top up krna aplikasi error 🤦‍♀️🤦‍♀️ kalau d update tlg yg bgs dong, ga mungkin low budget kan untuk ngurus aps nya 🥲",2023-02-23 08:54:45
Nafa mazaya,"Coba dftr strbuck dam login tp gagal, coba call center tp malah gk diangkat udh mah kenaa penguran pulsa:)",2023-02-22 14:45:09
damar sasmito,"Aplikasi ga bisa di buka, loading lama bgt padahal wifi kenceng bgt",2023-02-22 13:15:36
Nurul Amaral,Ga bisa login....habis upgrade keluar ga bs masuk² lagi..hihh,2023-02-22 11:58:45
verona,min kok gabisa sign in padahal udah bener email passnya:(,2023-02-21 13:23:09
Askhin Burhan Al Syahban,OTP Via WhatsApp Min Tolong Update Versi Barunya,2023-02-21 00:29:47
Regita Moudy,Kenapa ya ketika sign up tuh salah nya di email terus sampe Gonta ganti email tetep aja katanya ga valid udah males duluan jadinya .,2023-02-18 07:19:40
Nur Muhammad Saifudin,Untuk order via apps harusnya bisa detect store yg bener bener deket. Atau memang hanya bisa dipakai untuk area jakarta saja ?,2023-02-18 00:06:37
Fery Setiawan,Sangat buruk aplikasinya ga bisa login.,2023-02-13 09:26:12
PUTRI INTAN PERMATASARI,"Udah saya install terus uninstall tapi tetep gabisa dibuka, tolong untuk segera diperbaiki. Terimakasih",2023-02-12 12:13:27
mesak macora,Good,2023-02-09 09:19:28
Dinda Fitrianti,"Parah si buka aplikasi tampilan nya logo doang, udah di depan kasir. Sudah banyak keluhan tolong diperbaiki !!!!",2023-02-04 19:59:38
23. Muhammad Arief,"Katanya kode verifikasi dikirim di email, tapi ko gaada email masuk?",2023-02-03 07:16:46
Anang Agung Cahyono,Mahal sampai diskon pun masih terasa mahal,2023-02-02 22:14:05
Dimas Wisnu Darmawan (Dimas Dimok),Parah samapi kasir aplikasi eror,2023-02-01 13:11:57
Agung Pratama,Lemot,2023-01-29 19:34:29
yusnia fajar,Capek sendiri bolakbalik email tp gabsa login jg pdhl kode otp nya gada-_- heran,2023-01-29 13:52:34
ARIEF RAMDHANI,UI kurang Nyaman aja susah Custom Pesanan juga BTW ini Kalo Mau REFERAL : ARIEFR-3D306A,2023-01-29 00:51:04
Rani Afriyani,"Aplikasi nya sulit dibuka, kadang gak bisa dibuka sama sekali",2023-01-28 13:49:15
syafri syamsuddin,Sering gangguan Tidak bisa di buka Bad!!!,2023-01-25 19:24:36
My Video Channel,Menunya bagus tapi kalau aplikasinya susah daftarnya udah bener isi data malah invalid code 🤣🤣👍👍,2023-01-21 18:05:23
015_Yodi Alrizky Akbar,"Kalau bisa sediakan juga menu top up untuk ovo, dana gopay dll",2023-01-19 10:41:39
Febrian Hokee,"Untuk menu ordernya ditambahin dong, kan bukan di pulau jawa doang yang mau mesen",2023-01-18 20:03:51
sitizainab choirunnisa',cara masukan refferal code yng gk puny teman piye toh,2023-01-15 19:29:00
